Number:   Frequency: 
1         4         
2         1         
3         1         
4         3         
5         6         
6         11        
7         1         
8         4         
9         3         
12        1         
13        1         
14        2         
16        1         
21        1         
45        1         
46        3         
51        1         
54        2         
56        4         
62        1         
64        1         
65        3         
66        1         
76        2         
89        1         
92        1         
98        5         
146       1         
416       1         
465       1         
514       1         
546       2         
614       1         
634       1         
2983      1         
4165      2         
6165      1         
