Value:	Frequency:
0	7
1	9
2	5
3	9
4	24
5	4
6	19
7	11
8	8
9	4
10	12
11	9
12	9
13	7
14	7
15	12
16	13
17	10
18	14
19	9
20	4
21	10
22	14
23	7
24	8
25	11
26	8
27	12
28	12
29	10
30	7
31	11
32	7
33	7
34	16
35	11
36	6
37	9
38	5
39	11
40	16
41	11
42	8
43	7
44	14
45	11
46	8
47	8
48	8
49	9
50	15
51	14
52	14
53	10
54	9
55	11
56	7
57	6
58	8
59	14
60	8
61	9
62	12
63	10
64	11
65	10
66	6
67	13
68	10
69	7
70	15
71	11
72	7
73	14
74	7
75	9
76	6
77	3
78	12
79	11
80	7
81	19
82	12
83	8
84	8
85	11
86	11
87	12
88	13
89	13
90	11
91	11
92	5
93	11
94	12
95	12
96	7
97	9
98	18
99	3
